group,subgroup,month,services
M1 Management of Bulk Billed services,1 No subgroup,Apr-09,0
M1 Management of Bulk Billed services,1 No subgroup,May-09,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-09,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-09,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-09,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-09,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-09,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-09,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-09,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-10,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-10,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-10,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-10,0
M1 Management of Bulk Billed services,1 No subgroup,May-10,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-10,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-10,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-10,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-10,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-10,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-10,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-10,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-11,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-11,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-11,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-11,0
M1 Management of Bulk Billed services,1 No subgroup,May-11,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-11,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-11,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-11,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-11,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-11,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-11,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-11,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-12,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-12,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-12,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-12,0
M1 Management of Bulk Billed services,1 No subgroup,May-12,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-12,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-12,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-12,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-12,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-12,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-12,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-12,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-13,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-13,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-13,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-13,0
M1 Management of Bulk Billed services,1 No subgroup,May-13,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-13,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-13,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-13,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-13,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-13,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-13,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-13,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-14,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-14,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-14,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-14,0
M1 Management of Bulk Billed services,1 No subgroup,May-14,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-14,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-14,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-14,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-14,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-14,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-14,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-14,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-15,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-15,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-15,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-15,0
M1 Management of Bulk Billed services,1 No subgroup,May-15,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-15,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-15,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-15,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-15,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-15,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-15,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-15,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-16,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-16,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-16,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-16,0
M1 Management of Bulk Billed services,1 No subgroup,May-16,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-16,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-16,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-16,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-16,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-16,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-16,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-16,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-17,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-17,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-17,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-17,0
M1 Management of Bulk Billed services,1 No subgroup,May-17,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-17,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-17,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-17,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-17,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-17,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-17,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-17,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-18,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-18,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-18,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-18,0
M1 Management of Bulk Billed services,1 No subgroup,May-18,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-18,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-18,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-18,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-18,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-18,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-18,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-18,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-19,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-19,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-19,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-19,0
M1 Management of Bulk Billed services,1 No subgroup,May-19,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-19,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-19,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-19,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-19,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-19,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-19,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-19,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-20,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-20,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-20,0
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-04,"57,655"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-04,"291,405"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-04,"390,149"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-04,"241,437"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-04,"155,554"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-04,"154,860"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-04,"140,572"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-04,"139,886"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-04,"136,828"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-04,"148,535"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-04,"143,884"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-05,"156,289"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-05,"173,342"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-05,"371,103"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-05,"469,581"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-05,"404,234"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-05,"252,544"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-05,"194,811"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-05,"199,164"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-05,"176,732"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-05,"172,547"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-05,"196,521"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-05,"177,637"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-06,"186,076"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-06,"191,226"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-06,"549,639"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-06,"528,379"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-06,"398,432"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-06,"240,457"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-06,"229,483"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-06,"224,029"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-06,"202,776"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-06,"211,656"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-06,"220,086"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-06,"199,414"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-07,"226,010"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-07,"226,039"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-07,"614,249"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-07,"584,861"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-07,"455,293"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-07,"265,771"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-07,"297,880"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-07,"357,894"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-07,"297,997"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-07,"340,415"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-07,"311,229"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-07,"285,256"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-08,"325,003"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-08,"342,993"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-08,"612,942"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-08,"927,995"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-08,"623,026"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-08,"381,553"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-08,"348,207"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-08,"296,098"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-08,"292,792"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-08,"320,030"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-08,"286,298"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-08,"304,649"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-09,"294,005"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-09,"342,364"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-09,"902,030"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-09,"829,890"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-09,"643,354"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-09,"423,206"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-09,"344,257"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-09,"301,718"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-09,"307,094"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-09,"933,035"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-09,"753,586"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-09,"535,572"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-10,"419,972"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-10,"496,043"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-10,"990,536"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-10,"1,094,305"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-10,"688,605"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-10,"484,843"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-10,"372,752"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-10,"332,551"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-10,"329,243"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-10,"313,568"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-10,"336,812"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-10,"311,594"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-11,"306,445"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-11,"326,610"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-11,"949,069"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-11,"922,343"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-11,"680,786"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-11,"452,044"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-11,"378,387"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-11,"372,328"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-11,"335,029"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-11,"339,593"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-11,"355,348"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-11,"327,542"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-12,"28,501"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-12,"5,198"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-12,"2,304"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-12,"1,422"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-12,"1,253"
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-12,871
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-12,901
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-12,579
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-12,278
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-12,279
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-12,277
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-12,220
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-13,198
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-13,178
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-13,115
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-13,125
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-13,183
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-13,171
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-13,162
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-13,107
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-13,114
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-13,108
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-13,81
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-13,725
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-14,747
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-14,71
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-14,64
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-14,42
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-14,55
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-14,62
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-14,44
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-14,40
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-14,25
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-14,18
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-14,20
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-14,21
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-15,15
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-15,34
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-15,20
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-15,8
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-15,16
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-15,7
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-15,7
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-15,7
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-15,6
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-15,13
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-15,11
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-15,3
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-16,6
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Feb-16,8
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-16,5
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-16,6
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-16,6
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-16,4
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-16,2
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-16,5
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-16,2
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-16,2
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-16,3
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Dec-16,3
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-17,3
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-17,1
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Apr-17,1
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,May-17,2
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-17,2
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Aug-17,1
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Oct-17,1
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Nov-17,4
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jan-18,1
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Mar-18,2
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jun-18,1
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Jul-18,1
M2 Services provided by practice nurse on behalf of medical practitioner,1 No subgroup,Sep-18,6
M3 Allied Health Services,1 No subgroup,Jul-04,563
M3 Allied Health Services,1 No subgroup,Aug-04,"5,594"
M3 Allied Health Services,1 No subgroup,Sep-04,"12,905"
M3 Allied Health Services,1 No subgroup,Oct-04,"17,092"
M3 Allied Health Services,1 No subgroup,Nov-04,"22,810"
M3 Allied Health Services,1 No subgroup,Dec-04,"23,980"
M3 Allied Health Services,1 No subgroup,Jan-05,"17,926"
M3 Allied Health Services,1 No subgroup,Feb-05,"24,036"
M3 Allied Health Services,1 No subgroup,Mar-05,"28,159"
M3 Allied Health Services,1 No subgroup,Apr-05,"28,220"
M3 Allied Health Services,1 No subgroup,May-05,"32,910"
M3 Allied Health Services,1 No subgroup,Jun-05,"33,851"
M3 Allied Health Services,1 No subgroup,Jul-05,"33,986"
M3 Allied Health Services,1 No subgroup,Aug-05,"35,351"
M3 Allied Health Services,1 No subgroup,Sep-05,"38,061"
M3 Allied Health Services,1 No subgroup,Oct-05,"35,778"
M3 Allied Health Services,1 No subgroup,Nov-05,"42,539"
M3 Allied Health Services,1 No subgroup,Dec-05,"42,940"
M3 Allied Health Services,1 No subgroup,Jan-06,"36,708"
M3 Allied Health Services,1 No subgroup,Feb-06,"41,985"
M3 Allied Health Services,1 No subgroup,Mar-06,"54,433"
M3 Allied Health Services,1 No subgroup,Apr-06,"45,326"
M3 Allied Health Services,1 No subgroup,May-06,"64,783"
